portable operating systems

1. cacm\CACM-3127.html score=1.1755296
2. cacm\CACM-1461.html score=0.50642985
3. cacm\CACM-3068.html score=0.40902123
4. cacm\CACM-2111.html score=0.3230007
5. cacm\CACM-2069.html score=0.31651866
6. cacm\CACM-2740.html score=0.30766326
7. cacm\CACM-1462.html score=0.28890023
8. cacm\CACM-1728.html score=0.28890023
9. cacm\CACM-2597.html score=0.28045723
10. cacm\CACM-2246.html score=0.27498606
11. cacm\CACM-1750.html score=0.2741132
12. cacm\CACM-2372.html score=0.26916727
13. cacm\CACM-1247.html score=0.26857498
14. cacm\CACM-2080.html score=0.26857498
15. cacm\CACM-2482.html score=0.26857498
16. cacm\CACM-2867.html score=0.26857498
17. cacm\CACM-2379.html score=0.26133278
18. cacm\CACM-1680.html score=0.24681911
19. cacm\CACM-2319.html score=0.24613062
20. cacm\CACM-2840.html score=0.24135262
21. cacm\CACM-3025.html score=0.24135262
22. cacm\CACM-2621.html score=0.23838985
23. cacm\CACM-2541.html score=0.23371433
24. cacm\CACM-2629.html score=0.23371433
25. cacm\CACM-2632.html score=0.23371433
26. cacm\CACM-1747.html score=0.23342077
27. cacm\CACM-2317.html score=0.23112017
28. cacm\CACM-2424.html score=0.22735322
29. cacm\CACM-2138.html score=0.22647284
30. cacm\CACM-2151.html score=0.22647284
31. cacm\CACM-1751.html score=0.2238125
32. cacm\CACM-2320.html score=0.2238125
33. cacm\CACM-2950.html score=0.2238125
34. cacm\CACM-3196.html score=0.22226858
35. cacm\CACM-1923.html score=0.22156307
36. cacm\CACM-3174.html score=0.22156307
37. cacm\CACM-1930.html score=0.21998885
38. cacm\CACM-1226.html score=0.21734169
39. cacm\CACM-3141.html score=0.21734169
40. cacm\CACM-1324.html score=0.21344522
41. cacm\CACM-1951.html score=0.21344522
42. cacm\CACM-2522.html score=0.21344522
43. cacm\CACM-1236.html score=0.20095375
44. cacm\CACM-1752.html score=0.20095375
45. cacm\CACM-2777.html score=0.20095375
46. cacm\CACM-0322.html score=0.1986582
47. cacm\CACM-2624.html score=0.1986582
48. cacm\CACM-3026.html score=0.1986582
49. cacm\CACM-2358.html score=0.1930821
50. cacm\CACM-2374.html score=0.18991122
51. cacm\CACM-3137.html score=0.18991122
52. cacm\CACM-2378.html score=0.18697147
53. cacm\CACM-2036.html score=0.18111807
54. cacm\CACM-3028.html score=0.18111807
55. cacm\CACM-2184.html score=0.160763
56. cacm\CACM-2297.html score=0.160763
57. cacm\CACM-2622.html score=0.160763
58. cacm\CACM-1892.html score=0.15892656
59. cacm\CACM-2625.html score=0.15892656
60. cacm\CACM-0696.html score=0.15825933
61. cacm\CACM-1647.html score=0.15825933
62. cacm\CACM-2095.html score=0.15825933
63. cacm\CACM-2582.html score=0.15825933
64. cacm\CACM-2972.html score=0.15825933
65. cacm\CACM-3006.html score=0.15825933
66. cacm\CACM-3050.html score=0.15825933
67. cacm\CACM-3105.html score=0.15825933
68. cacm\CACM-1517.html score=0.12660746
69. cacm\CACM-1810.html score=0.12660746
70. cacm\CACM-1854.html score=0.12660746
71. cacm\CACM-1877.html score=0.12660746
72. cacm\CACM-2342.html score=0.12660746
73. cacm\CACM-2535.html score=0.12660746
74. cacm\CACM-2542.html score=0.12660746
75. cacm\CACM-2849.html score=0.12660746
76. cacm\CACM-3002.html score=0.12660746
77. cacm\CACM-1069.html score=0.12368815
78. cacm\CACM-1755.html score=0.12368815
79. cacm\CACM-2796.html score=0.12368815
80. cacm\CACM-1050.html score=0.10307345
81. cacm\CACM-1472.html score=0.10203751
82. cacm\CACM-1591.html score=0.092191696
83. cacm\CACM-2357.html score=0.08926423
84. cacm\CACM-2868.html score=0.08926423
85. cacm\CACM-2920.html score=0.08926423
86. cacm\CACM-2311.html score=0.08637957
87. cacm\CACM-2407.html score=0.08637957
88. cacm\CACM-2345.html score=0.08110635
89. cacm\CACM-2583.html score=0.07804462
90. cacm\CACM-0018.html score=0.07726023
91. cacm\CACM-0025.html score=0.07726023
92. cacm\CACM-0597.html score=0.07726023
93. cacm\CACM-0652.html score=0.07726023
94. cacm\CACM-1360.html score=0.07726023
95. cacm\CACM-1912.html score=0.07726023
96. cacm\CACM-2479.html score=0.07300406
97. cacm\CACM-3150.html score=0.07300406
98. cacm\CACM-1464.html score=0.072883934
99. cacm\CACM-1519.html score=0.072883934
100. cacm\CACM-1534.html score=0.072883934


code optimization for space efficiency

1. cacm\CACM-2495.html score=0.5975083
2. cacm\CACM-1947.html score=0.5535952
3. cacm\CACM-1795.html score=0.53610176
4. cacm\CACM-2748.html score=0.528035
5. cacm\CACM-2559.html score=0.4950907
6. cacm\CACM-1886.html score=0.44647112
7. cacm\CACM-2897.html score=0.43843484
8. cacm\CACM-2904.html score=0.38659886
9. cacm\CACM-3080.html score=0.38377044
10. cacm\CACM-2680.html score=0.3617208
11. cacm\CACM-2537.html score=0.3568571
12. cacm\CACM-3171.html score=0.34712863
13. cacm\CACM-2491.html score=0.3306753
14. cacm\CACM-2253.html score=0.32735753
15. cacm\CACM-2944.html score=0.3262091
16. cacm\CACM-2929.html score=0.31939238
17. cacm\CACM-2464.html score=0.28860432
18. cacm\CACM-1195.html score=0.28224146
19. cacm\CACM-1564.html score=0.2743894
20. cacm\CACM-2423.html score=0.2743894
21. cacm\CACM-2374.html score=0.27298835
22. cacm\CACM-3005.html score=0.26183242
23. cacm\CACM-2033.html score=0.26124457
24. cacm\CACM-1651.html score=0.24911706
25. cacm\CACM-1655.html score=0.24672866
26. cacm\CACM-2858.html score=0.24334013
27. cacm\CACM-3053.html score=0.24334013
28. cacm\CACM-3054.html score=0.24068223
29. cacm\CACM-0797.html score=0.23872676
30. cacm\CACM-2856.html score=0.23869252
31. cacm\CACM-2433.html score=0.23437612
32. cacm\CACM-1234.html score=0.23171572
33. cacm\CACM-2716.html score=0.23156588
34. cacm\CACM-2701.html score=0.22340249
35. cacm\CACM-1901.html score=0.22280307
36. cacm\CACM-1542.html score=0.2106169
37. cacm\CACM-2611.html score=0.21029912
38. cacm\CACM-0230.html score=0.20888591
39. cacm\CACM-1064.html score=0.20888591
40. cacm\CACM-1289.html score=0.20888591
41. cacm\CACM-2835.html score=0.20701885
42. cacm\CACM-0267.html score=0.20604253
43. cacm\CACM-1670.html score=0.20255528
44. cacm\CACM-1992.html score=0.20255528
45. cacm\CACM-2722.html score=0.19925252
46. cacm\CACM-2745.html score=0.19869836
47. cacm\CACM-2734.html score=0.19712423
48. cacm\CACM-0066.html score=0.18918669
49. cacm\CACM-3129.html score=0.17914577
50. cacm\CACM-1275.html score=0.17904507
51. cacm\CACM-1414.html score=0.17904507
52. cacm\CACM-0048.html score=0.17705749
53. cacm\CACM-1362.html score=0.17705749
54. cacm\CACM-2711.html score=0.1756262
55. cacm\CACM-2078.html score=0.1752548
56. cacm\CACM-2133.html score=0.17524926
57. cacm\CACM-1807.html score=0.17389299
58. cacm\CACM-0149.html score=0.1717021
59. cacm\CACM-1757.html score=0.1688053
60. cacm\CACM-1223.html score=0.16849889
61. cacm\CACM-1235.html score=0.16849351
62. cacm\CACM-3083.html score=0.16805974
63. cacm\CACM-1369.html score=0.16523181
64. cacm\CACM-1204.html score=0.15765558
65. cacm\CACM-2645.html score=0.15531684
66. cacm\CACM-2530.html score=0.15202168
67. cacm\CACM-2892.html score=0.15143192
68. cacm\CACM-1708.html score=0.14958504
69. cacm\CACM-0093.html score=0.14920424
70. cacm\CACM-1065.html score=0.14920424
71. cacm\CACM-2586.html score=0.14920424
72. cacm\CACM-2389.html score=0.14902377
73. cacm\CACM-2863.html score=0.14902377
74. cacm\CACM-1652.html score=0.14447135
75. cacm\CACM-1676.html score=0.14430216
76. cacm\CACM-2836.html score=0.14363311
77. cacm\CACM-2524.html score=0.1414585
78. cacm\CACM-1465.html score=0.14062326
79. cacm\CACM-2126.html score=0.13736169
80. cacm\CACM-1523.html score=0.13666514
81. cacm\CACM-1331.html score=0.13049494
82. cacm\CACM-2498.html score=0.12899466
83. cacm\CACM-2344.html score=0.12832725
84. cacm\CACM-2950.html score=0.12738775
85. cacm\CACM-0124.html score=0.12612447
86. cacm\CACM-1352.html score=0.12610742
87. cacm\CACM-1429.html score=0.12610742
88. cacm\CACM-2365.html score=0.12610742
89. cacm\CACM-2816.html score=0.12418647
